Index,Temperature,Humidity%,Rain
496,25,71.8,Yes
497,24,84.4,Yes
498,16,76.9,No
499,23,77.6,Yes
500,26,76.9,Yes
501,23,63.1,Yes
502,26,70.9,Yes
503,24,66.1,Yes
504,30,70.9,Yes
505,31,70.9,Yes
506,28,64.7,Yes
507,33,57.9,Yes
508,27,77.2,Yes
509,21,60.0,No
510,17,55.4,No
511,24,53.8,Yes
512,21,47.1,No
513,13,47.1,No
514,16,47.3,No
515,27,40.7,Yes
516,33,49.2,Yes
517,32,70.9,Yes
518,17,63.5,No
519,20,63.5,No
520,12,55.7,No
521,17,50.5,No
522,25,63.1,Yes
523,34,83.7,Yes
524,23,76.7,Yes
525,31,90.8,Yes
526,29,96.9,Yes
527,28,86.0,Yes
528,34,79.2,Yes
529,29,83.7,Yes
530,30,90.4,Yes
531,27,83.0,Yes
532,13,71.6,No
533,34,72.4,Yes
534,23,85.1,Yes
535,34,90.8,Yes
536,23,82.6,Yes
537,30,77.0,Yes
538,17,69.2,No
539,16,63.2,No
540,25,71.6,Yes
541,30,86.8,Yes
542,25,78.3,Yes
543,18,69.9,No
544,14,63.1,No
545,19,63.2,No
546,31,66.6,Yes
547,20,65.1,No
548,15,65.4,No
549,18,68.3,No
550,31,76.9,Yes
551,25,85.9,Yes
552,14,69.1,No
553,26,83.7,Yes
554,16,76.9,No
555,12,70.6,No
556,13,63.1,No
557,20,65.9,No
558,32,60.0,Yes
559,20,70.0,No
560,17,77.0,No
561,23,86.0,Yes
562,23,78.0,Yes
563,33,92.1,Yes
564,31,74.7,Yes
565,26,86.8,Yes
566,20,84.3,No
567,28,77.8,Yes
568,31,81.7,Yes
569,28,72.1,Yes
570,26,70.0,Yes
571,27,71.5,Yes
572,17,62.8,No
573,31,70.4,Yes
574,26,59.2,Yes
575,29,68.4,Yes
576,32,70.1,Yes
577,24,65.0,Yes
578,29,56.2,Yes
579,28,78.7,Yes
580,13,57.7,No
581,16,49.6,No
582,27,47.5,Yes
583,14,46.1,No
584,15,43.0,No
585,14,41.2,No
586,21,37.3,No
587,15,48.6,No
588,30,69.5,Yes
589,12,56.1,No
590,15,55.8,No
591,15,54.1,No
592,18,52.6,No
593,31,61.0,Yes
594,25,84.4,Yes
595,28,82.6,Yes
596,26,83.4,Yes
597,34,96.0,Yes
598,26,89.0,Yes
599,26,79.7,Yes
600,32,81.4,Yes
601,30,84.8,Yes
602,27,84.5,Yes
603,19,73.9,No
604,27,72.4,Yes
605,34,83.1,Yes
606,24,87.4,Yes
607,31,85.0,Yes
608,27,75.8,Yes
609,24,64.0,Yes
610,15,63.1,No
611,23,66.3,Yes
612,29,83.1,Yes
613,33,69.8,Yes
614,13,65.8,No
615,20,60.9,No
616,23,60.6,Yes
617,12,61.2,No
618,20,65.7,No
619,20,67.3,No
620,14,70.0,No
621,28,73.3,Yes
622,32,83.0,Yes
623,29,67.6,Yes
624,23,78.9,Yes
625,28,74.3,Yes
626,27,71.5,Yes
627,19,60.2,No
628,20,63.2,No
629,28,66.5,Yes
630,32,75.3,Yes
631,21,72.1,No
632,23,81.1,Yes
633,31,76.5,Yes
634,31,92.9,Yes
635,34,76.4,Yes
636,27,85.5,Yes
637,20,79.7,No
638,34,79.6,Yes
639,26,83.7,Yes
640,30,76.9,Yes
641,28,74.6,Yes
642,30,75.9,Yes
643,25,55.1,Yes
644,31,58.9,Yes
645,28,56.5,Yes
646,29,58.1,Yes
647,25,62.6,Yes
648,28,63.3,Yes
649,33,55.2,Yes
650,26,76.9,Yes
651,12,59.9,No
652,18,48.7,No
653,29,47.1,Yes
654,18,43.1,No
655,13,42.9,No
656,15,41.9,No
657,16,39.9,No
658,12,47.1,No
659,23,71.5,Yes
660,14,55.9,No
661,15,56.5,No
662,21,55.4,No
663,12,50.5,No
664,30,55.1,Yes
665,32,83.7,Yes
666,30,76.7,Yes
667,34,83.8,Yes
668,34,98.3,Yes
669,32,86.0,Yes
670,26,72.4,Yes
671,31,76.7,Yes
672,33,80.0,Yes
673,34,80.2,Yes
674,13,69.5,No
675,24,70.3,Yes
676,27,80.9,Yes
677,33,85.9,Yes
678,27,79.2,Yes
679,32,73.7,Yes
680,15,63.6,No
681,14,60.5,No
682,28,64.9,Yes
683,30,78.7,Yes
684,31,68.3,Yes
685,21,65.4,No
686,12,61.8,No
687,32,54.7,Yes
688,21,59.6,No
689,17,58.7,No
690,18,63.6,No
691,14,67.4,No
692,30,67.0,Yes
693,32,76.3,Yes
694,19,67.8,No
695,28,74.7,Yes
696,19,66.1,No
697,29,65.7,Yes
698,12,53.4,No
699,21,52.9,No
700,34,57.8,Yes
701,34,59.6,Yes
702,13,67.4,No
703,29,75.9,Yes
704,27,72.4,Yes
705,32,89.7,Yes
706,15,71.6,No
707,34,81.3,Yes
708,13,75.7,No
709,27,73.2,Yes
710,24,81.7,Yes
711,31,76.9,Yes
712,30,72.1,Yes
713,24,73.4,Yes
714,27,62.1,Yes
715,28,65.2,Yes
716,29,63.5,Yes
717,34,68.9,Yes
718,34,71.1,Yes
719,33,70.9,Yes
720,33,58.5,Yes
721,31,77.5,Yes
722,18,63.5,No
723,14,55.4,No
724,27,55.5,Yes
725,19,48.7,No
726,16,47.1,No
727,21,47.5,No
728,14,40.7,No
729,17,47.2,No
730,25,66.5,Yes
731,15,55.8,No
732,19,56.0,No
733,12,55.8,No
734,21,51.1,No
735,31,61.0,Yes
736,28,90.4,Yes
737,29,80.0,Yes
738,31,84.0,Yes
739,23,98.3,Yes
740,28,85.2,Yes
741,25,78.7,Yes
742,27,84.2,Yes
743,29,81.3,Yes
744,24,90.8,Yes
745,21,74.6,No
746,32,77.5,Yes
747,31,84.4,Yes
748,28,88.8,Yes
749,29,82.8,Yes
750,23,77.5,Yes
751,16,63.5,No
752,14,66.1,No
753,34,68.0,Yes
754,26,81.6,Yes
755,26,72.9,Yes
756,13,66.7,No
757,15,59.1,No
758,17,63.5,No
759,17,67.1,No
760,21,64.7,No
761,12,66.9,No
762,19,71.2,No
763,24,75.9,Yes
764,31,79.1,Yes
765,15,69.1,No
766,16,83.2,No
767,16,76.9,No
768,30,66.4,Yes
769,29,58.1,Yes
770,24,63.7,Yes
771,32,66.4,Yes
772,14,71.0,No
773,29,73.0,Yes
774,28,84.4,Yes
775,30,79.3,Yes
776,31,94.0,Yes
777,34,80.9,Yes
778,28,90.4,Yes
779,14,84.3,No
780,12,77.5,No
781,25,79.1,Yes
782,12,68.4,No
783,23,67.1,Yes
784,34,64.1,Yes
785,13,54.7,No
786,32,55.0,Yes
787,20,61.2,No
788,23,61.7,Yes
789,29,67.3,Yes
790,33,61.2,Yes
791,24,52.2,Yes
792,30,74.9,Yes
793,23,57.1,Yes
794,30,46.9,Yes
795,21,43.7,No
796,21,39.4,No
797,20,44.3,No
798,15,38.5,No
799,21,34.8,No
800,33,46.6,Yes
801,27,65.5,Yes
802,13,53.8,No
803,20,55.6,No
804,15,55.7,No
805,21,55.3,No
806,25,59.1,Yes
807,26,83.0,Yes
808,31,80.9,Yes
809,24,89.8,Yes
810,27,96.7,Yes
811,23,84.5,Yes
812,27,77.2,Yes
813,27,83.3,Yes
814,29,80.6,Yes
815,27,88.4,Yes
816,18,70.8,No
817,29,74.7,Yes
818,33,82.6,Yes
819,30,85.9,Yes
820,25,82.4,Yes
821,32,74.0,Yes
822,21,62.8,No
823,13,62.5,No
824,30,67.4,Yes
825,34,79.3,Yes
826,30,71.2,Yes
827,12,64.9,No
828,20,59.1,No
829,21,60.3,No
830,15,65.0,No
831,18,64.5,No
832,18,66.6,No
833,17,72.7,No
834,26,73.2,Yes
835,17,78.1,No
836,13,69.8,No
837,13,80.0,No
838,19,73.4,No
839,19,68.2,No
840,15,56.6,No
841,26,63.8,Yes
842,24,64.9,Yes
843,24,69.4,Yes
844,12,71.6,No
845,33,81.3,Yes
846,32,78.7,Yes
847,28,93.1,Yes
848,18,74.9,No
849,27,87.2,Yes
850,13,80.8,No
851,30,76.0,Yes
852,28,84.7,Yes
853,25,72.5,Yes
854,26,70.2,Yes
855,27,70.6,Yes
856,29,60.5,Yes
857,28,60.7,Yes
858,33,65.3,Yes
859,23,68.1,Yes
860,25,68.1,Yes
861,24,62.1,Yes
862,25,82.5,Yes
863,33,80.5,Yes
864,32,85.4,Yes
865,30,71.6,Yes
866,29,77.7,Yes
867,12,74.8,No
868,19,74.9,No
869,12,74.3,No
870,21,36.7,No
871,28,45.3,Yes
872,25,71.0,Yes
873,20,63.0,No
874,20,63.8,No
875,14,63.3,No
876,12,58.7,No
877,26,60.9,Yes
878,30,90.1,Yes
879,26,84.4,Yes
880,32,83.7,Yes
881,30,94.6,Yes
882,32,92.1,Yes
883,27,76.8,Yes
884,33,81.9,Yes
885,24,87.3,Yes
886,26,99.8,Yes
887,14,71.1,No
888,26,74.4,Yes
889,23,86.2,Yes
890,31,91.2,Yes
891,26,90.7,Yes
892,32,80.9,Yes
893,18,61.8,No
894,30,63.9,Yes
895,30,75.4,Yes
896,23,83.3,Yes
897,25,77.3,Yes
898,16,70.2,No
899,13,62.3,No
900,14,61.3,No
901,17,65.4,No
902,18,61.8,No
903,21,72.5,No
904,20,80.0,No
905,24,73.5,Yes
906,31,82.8,Yes
907,28,76.8,Yes
908,26,84.7,Yes
909,25,76.4,Yes
910,12,63.8,No
911,18,61.8,No
912,24,62.8,Yes
913,24,66.4,Yes
914,18,73.5,No
915,15,74.0,No
916,33,86.9,Yes
917,33,87.6,Yes
918,29,91.6,Yes
919,33,73.0,Yes
920,34,82.8,Yes
921,13,82.6,No
922,16,81.6,No
923,15,81.8,No
924,19,69.4,No
925,23,67.5,Yes
926,26,70.4,Yes
927,32,57.8,Yes
928,29,63.2,Yes
929,31,66.8,Yes
930,23,65.3,Yes
931,23,56.3,Yes
932,30,63.0,Yes
933,23,58.9,Yes
934,16,61.8,No
935,18,65.3,No
936,28,52.2,Yes
937,18,54.0,No
938,14,52.8,No
939,21,50.2,No
940,13,49.0,No
941,15,43.5,No
942,33,51.8,Yes
943,28,68.8,Yes
944,13,59.9,No
945,15,57.9,No
946,13,57.6,No
947,20,56.7,No
948,23,60.0,Yes
949,27,84.5,Yes
950,33,82.1,Yes
951,31,82.6,Yes
952,26,92.4,Yes
953,24,90.0,Yes
954,30,72.2,Yes
955,33,79.9,Yes
956,33,83.8,Yes
957,32,89.4,Yes
958,34,71.6,Yes
959,24,74.9,Yes
960,34,83.7,Yes
961,28,87.4,Yes
962,26,87.6,Yes
963,32,76.3,Yes
964,31,64.3,Yes
965,32,61.9,Yes
966,26,73.7,Yes
967,15,81.2,No
968,32,74.2,Yes
969,14,66.8,No
970,13,63.5,No
971,15,62.0,No
972,16,66.4,No
973,12,64.9,No
974,18,70.5,No
975,28,76.6,Yes
976,32,72.7,Yes
977,29,81.6,Yes
978,30,68.8,Yes
979,25,77.6,Yes
980,27,70.8,Yes
981,17,65.4,No
982,17,58.6,No
983,31,61.1,Yes
984,34,68.8,Yes
985,31,73.3,Yes
986,18,73.7,No
987,31,80.4,Yes
988,33,81.8,Yes
989,13,86.3,No
990,23,68.1,Yes
991,34,80.8,Yes
992,19,79.1,No
993,25,74.6,Yes
994,34,81.0,Yes
995,14,68.8,No
996,28,62.0,Yes
997,27,71.4,Yes
998,19,54.1,No
999,32,57.4,Yes
1000,24,61.4,Yes
1001,17,66.7,No
1002,34,57.0,Yes
1003,33,63.1,Yes
1004,33,57.7,Yes
1005,17,60.3,No
1006,21,53.8,No
1007,21,53.8,No
1008,18,46.1,No
1009,13,39.2,No
1010,14,38.8,No
1011,18,42.0,No
1012,17,40.1,No
1013,26,46.1,Yes
1014,33,64.2,Yes
1015,19,62.4,No
1016,13,60.5,No
1017,14,60.2,No
1018,18,70.9,No
1019,29,65.0,Yes
1020,25,76.6,Yes
1021,32,77.7,Yes
1022,32,84.5,Yes
1023,30,90.0,Yes
1024,24,76.9,Yes
1025,25,71.5,Yes
1026,34,77.6,Yes
1027,29,82.3,Yes
1028,32,76.9,Yes
1029,28,74.1,Yes
1030,33,80.6,Yes
1031,34,75.6,Yes
1032,23,73.2,Yes
1033,27,82.0,Yes
1034,32,73.8,Yes
1035,27,68.8,Yes
1036,29,62.7,Yes
1037,27,73.0,Yes
1038,16,80.1,No
1039,32,71.0,Yes
1040,21,67.4,No
1041,15,63.7,No
1042,14,59.7,No
1043,12,66.3,No
1044,20,61.2,No
1045,20,70.4,No
1046,16,74.1,No
1047,32,69.4,Yes
1048,33,70.2,Yes
1049,18,60.8,No
1050,34,76.6,Yes
1051,25,69.5,Yes
1052,14,62.3,No
1053,14,57.5,No
1054,12,65.5,No
1055,33,68.8,Yes
1056,24,74.7,Yes
1057,29,72.5,Yes
1058,30,82.4,Yes
1059,28,72.8,Yes
1060,19,82.6,No
1061,34,66.1,Yes
1062,32,71.5,Yes
1063,14,74.4,No
1064,29,72.4,Yes
1065,25,85.5,Yes
1066,27,73.9,Yes
1067,24,77.1,Yes
1068,24,77.9,Yes
1069,29,63.1,Yes
1070,25,63.1,Yes
1071,26,72.4,Yes
1072,31,73.3,Yes
1073,27,70.6,Yes
1074,28,67.0,Yes
1075,28,65.0,Yes
1076,24,67.8,Yes
1077,16,60.5,No
1078,15,54.5,No
1079,26,48.6,Yes
1080,18,45.2,No
1081,17,44.7,No
1082,15,48.6,No
1083,15,37.3,No
1084,31,47.4,Yes
1085,29,63.4,Yes
1086,18,59.5,No
1087,13,60.4,No
1088,20,69.4,No
1089,19,56.1,No
1090,29,58.8,Yes
1091,25,87.5,Yes
1092,31,85.4,Yes
1093,34,85.0,Yes
1094,25,96.4,Yes
1095,30,90.3,Yes
1096,25,75.3,Yes
1097,24,82.6,Yes
1098,32,86.4,Yes
1099,32,92.0,Yes
1100,21,79.4,No
1101,24,77.7,Yes
1102,33,86.4,Yes
1103,26,89.8,Yes
1104,31,93.1,Yes
1105,30,76.1,Yes
1106,29,69.5,Yes
1107,34,60.5,Yes
1108,34,71.1,Yes
1109,26,86.1,Yes
1110,24,79.9,Yes
1111,16,63.9,No
1112,19,60.4,No
1113,33,59.8,Yes
1114,16,73.9,No
1115,28,61.3,Yes
1116,19,74.8,No
1117,19,74.3,No
1118,29,78.8,Yes
1119,28,89.2,Yes
1120,27,69.0,Yes
1121,29,86.4,Yes
1122,34,73.6,Yes
1123,17,70.4,No
1124,21,56.9,No
1125,18,70.9,No
1126,32,73.0,Yes
1127,21,73.1,No
1128,21,75.8,No
1129,28,81.5,Yes
1130,23,85.6,Yes
1131,27,89.7,Yes
1132,16,72.0,No
1133,30,85.3,Yes
1134,19,78.9,No
1135,18,77.3,No
1136,26,83.7,Yes
1137,28,74.3,Yes
1138,27,69.1,Yes
1139,33,69.9,Yes
1140,30,55.0,Yes
1141,24,55.1,Yes
1142,27,62.6,Yes
1143,24,65.2,Yes
1144,23,67.3,Yes
1145,23,60.6,Yes
1146,26,52.9,Yes
1147,33,65.0,Yes
1148,14,55.2,No
1149,20,50.3,No
1150,20,47.1,No
1151,17,42.2,No
1152,12,40.8,No
1153,14,40.8,No
1154,14,36.3,No
1155,27,47.6,Yes
1156,33,66.2,Yes
1157,14,65.3,No
1158,13,60.8,No
1159,13,57.4,No
1160,16,56.7,No
1161,25,60.0,Yes
1162,34,86.1,Yes
1163,30,79.3,Yes
1164,24,86.4,Yes
1165,34,95.8,Yes
1166,34,93.2,Yes
1167,33,77.2,Yes
1168,26,84.0,Yes
1169,32,88.7,Yes
1170,25,90.8,Yes
1171,18,74.2,No
1172,23,74.1,Yes
1173,25,84.3,Yes
1174,29,91.1,Yes
1175,30,88.2,Yes
1176,33,75.7,Yes
1177,30,65.6,Yes
1178,20,61.6,No
1179,19,67.7,No
1180,24,78.7,Yes
1181,25,76.1,Yes
1182,19,63.7,No
1183,15,60.5,No
1184,25,58.3,Yes
1185,19,63.6,No
1186,12,62.7,No
1187,19,64.3,No
1188,13,72.1,No
1189,26,73.1,Yes
1190,28,82.6,Yes
1191,26,70.0,Yes
1192,20,79.3,No
1193,21,73.7,No
1194,12,60.2,No
1195,21,56.2,No
1196,15,60.9,No
1197,29,59.1,Yes
1198,18,76.3,No
1199,23,74.1,Yes
1200,29,83.1,Yes
1201,26,83.2,Yes
1202,16,88.1,No
1203,17,70.2,No
1204,34,85.2,Yes
1205,12,76.8,No
1206,16,76.0,No
1207,30,86.3,Yes
1208,26,77.5,Yes
1209,29,75.5,Yes
1210,28,74.7,Yes
1211,30,56.6,Yes
1212,27,57.5,Yes
1213,23,66.2,Yes
1214,26,67.6,Yes
1215,28,67.6,Yes
1216,28,66.1,Yes
1217,34,63.5,Yes
